@RELATION browserninja.website
@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@DATA
http://wwatana.be/mobile/topsites/www.msn.com,1411,A,0,15,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,results/motog4/1411.png,results/iphone8plus/1411.png,8,8,12556,11318,14,12,76,65,8,8,12556,11318,206738.0,942.5,1080,1242,688,414,/body[2]/div[4]/div[7]/div[8]/div[3]/a[1],/body[2]/div[4]/div[7]/div[8]/div[3]/a[1],/body[2]/div[4]/div[7]/div[8]/div[3]/a[1],0.3,8,8,12542,11305,0,0,0,0,1,1,"Times New Roman",-webkit-standard
http://wwatana.be/mobile/topsites/www.msn.com,1410,DIV,1,257,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,null,null,8,8,12556,11318,14,13,344,398,8,8,12528,11292,0.0,0.0,1080,1242,688,414,/body[2]/div[4]/div[7]/div[8]/div[3],/body[2]/div[4]/div[7]/div[8]/div[3],/body[2]/div[4]/div[7]/div[8]/div[3],0.0,8,8,12542,11305,0,0,0,0,2,2,"Times New Roman",-webkit-standard
http://wwatana.be/mobile/topsites/www.msn.com,1409,A,0,5,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,results/motog4/1409.png,results/iphone8plus/1409.png,8,8,12542,11305,14,12,28,25,8,8,12542,11305,45877.0,341.5,1080,1242,688,414,/body[2]/div[4]/div[7]/div[8]/div[2]/a[1],/body[2]/div[4]/div[7]/div[8]/div[2]/a[1],/body[2]/div[4]/div[7]/div[8]/div[2]/a[1],0.9,8,8,12528,11292,8,8,12556,11318,1,1,"Times New Roman",-webkit-standard
http://wwatana.be/mobile/topsites/www.msn.com,1408,DIV,1,240,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,null,null,8,8,12542,11305,14,13,344,398,8,8,12528,11292,0.0,0.0,1080,1242,688,414,/body[2]/div[4]/div[7]/div[8]/div[2],/body[2]/div[4]/div[7]/div[8]/div[2],/body[2]/div[4]/div[7]/div[8]/div[2],0.0,8,8,12528,11292,8,8,12556,11318,2,2,"Times New Roman",-webkit-standard
http://wwatana.be/mobile/topsites/www.msn.com,1407,A,0,25,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,results/motog4/1407.png,results/iphone8plus/1407.png,8,8,12528,11292,14,12,126,107,8,8,12528,11292,299271.0,1495.2,1080,1242,688,414,/body[2]/div[4]/div[7]/div[8]/div[1]/a[1],/body[2]/div[4]/div[7]/div[8]/div[1]/a[1],/body[2]/div[4]/div[7]/div[8]/div[1]/a[1],1.0,63,71,12507,11270,8,8,12542,11305,1,1,"Times New Roman",-webkit-standard
http://wwatana.be/mobile/topsites/www.msn.com,1406,DIV,1,264,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,null,null,8,8,12528,11292,14,13,344,398,8,8,12528,11292,0.0,0.0,1080,1242,688,414,/body[2]/div[4]/div[7]/div[8]/div[1],/body[2]/div[4]/div[7]/div[8]/div[1],/body[2]/div[4]/div[7]/div[8]/div[1],0.0,63,71,12507,11270,8,8,12542,11305,2,2,"Times New Roman",-webkit-standard
http://wwatana.be/mobile/topsites/www.msn.com,1405,DIV,6,881,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,null,null,8,8,12528,11292,42,39,344,398,8,8,12262,11017,0.0,0.0,1080,1242,688,414,/body[2]/div[4]/div[7]/div[8],/body[2]/div[4]/div[7]/div[8],/body[2]/div[4]/div[7]/div[8],0.0,63,71,12507,11270,0,0,0,0,4,4,"Times New Roman",-webkit-standard
http://wwatana.be/mobile/topsites/www.msn.com,1404,BUTTON,0,6,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,results/motog4/1404.png,results/iphone8plus/1404.png,63,71,12507,11270,21,20,56,58,8,8,12262,11017,263276.0,1064.4,1080,1242,688,414,/body[2]/div[4]/div[7]/button[7],/body[2]/div[4]/div[7]/button[7],/body[2]/div[4]/div[7]/button[7],0.3,8,10,12507,11270,8,8,12528,11292,1,1,Arial,Helvetica
http://wwatana.be/mobile/topsites/www.msn.com,1403,BUTTON,0,6,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,results/motog4/1403.png,results/iphone8plus/1403.png,8,10,12507,11270,21,20,52,55,8,8,12262,11017,234877.0,995.1,1080,1242,688,414,/body[2]/div[4]/div[7]/button[6],/body[2]/div[4]/div[7]/button[6],/body[2]/div[4]/div[7]/button[6],1.0,8,8,12403,11170,63,71,12507,11270,1,1,Arial,Helvetica
http://wwatana.be/mobile/topsites/www.msn.com,1402,LI,0,0,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,1.6,3.0,results/motog4/1402.png,results/iphone8plus/1402.png,48,48,12483,11245,14,13,304,358,8,8,12427,11193,25589.0,145.9,1080,1242,688,414,/body[2]/div[4]/div[7]/div[5]/div[1]/ul[2]/li[5],/body[2]/div[4]/div[7]/div[5]/div[1]/ul[2]/li[5],/body[2]/div[4]/div[7]/div[5]/div[1]/ul[2]/li[5],0.9,48,48,12469,11232,8,10,12507,11270,0,0,"Times New Roman",-webkit-standard
