@RELATION browserninja.website
@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@DATA
http://wwatana.be/mobile/mobile/201602/11/1.html,61,IMG,0,0,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/61.png,results/motog4/61.png,293,278,2655,2655,70,70,70,70,0,0,0,0,3331278.0,4900.0,750,1080,950,950,/body[2]/img[6],/body[2]/img[6],/body[2]/img[6],0.0,0,0,583,583,0,0,0,0,0,0,-webkit-standard,"Times New Roman"
http://wwatana.be/mobile/mobile/201602/11/1.html,60,A,0,22,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/60.png,results/motog4/60.png,361,361,2625,2625,30,30,180,180,361,361,2625,2625,1625686.0,5400.0,750,1080,950,950,/body[2]/div[5]/div[5]/a[1],/body[2]/div[5]/div[5]/a[1],/body[2]/div[5]/div[5]/a[1],0.0,66,66,1946,1946,293,278,2655,2655,1,1,-webkit-standard,"Times New Roman"
http://wwatana.be/mobile/mobile/201602/11/1.html,59,DIV,1,70,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,null,null,361,361,2625,2625,30,30,180,180,0,0,583,583,0.0,0.0,750,1080,950,950,/body[2]/div[5]/div[5],/body[2]/div[5]/div[5],/body[2]/div[5]/div[5],0.0,66,66,1946,1946,293,278,2655,2655,2,2,-webkit-standard,"Times New Roman"
http://wwatana.be/mobile/mobile/201602/11/1.html,58,P,0,21,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/58.png,results/motog4/58.png,122,122,2579,2574,20,19,257,257,66,66,1946,1946,3550155.0,5140.0,750,1080,950,950,/body[2]/div[5]/div[4]/p[8],/body[2]/div[5]/div[4]/p[8],/body[2]/div[5]/div[4]/p[8],0.0,122,122,2543,2539,361,361,2625,2625,1,1,"open sans","Open Sans"
http://wwatana.be/mobile/mobile/201602/11/1.html,57,P,0,30,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/57.png,results/motog4/57.png,122,122,2543,2539,20,19,257,257,66,66,1946,1946,3476850.0,5140.0,750,1080,950,950,/body[2]/div[5]/div[4]/p[7],/body[2]/div[5]/div[4]/p[7],/body[2]/div[5]/div[4]/p[7],0.0,122,122,2507,2504,122,122,2579,2574,1,1,"open sans","Open Sans"
http://wwatana.be/mobile/mobile/201602/11/1.html,56,P,0,21,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/56.png,results/motog4/56.png,122,122,2507,2504,20,19,257,257,66,66,1946,1946,3548613.0,5140.0,750,1080,950,950,/body[2]/div[5]/div[4]/p[6],/body[2]/div[5]/div[4]/p[6],/body[2]/div[5]/div[4]/p[6],0.0,66,66,2293,2290,122,122,2543,2539,1,1,"open sans","Open Sans"
http://wwatana.be/mobile/mobile/201602/11/1.html,55,IMG,0,0,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/55.png,results/motog4/55.png,66,66,2293,2290,193,193,298,298,66,66,1946,1946,31306858.0,57514.0,750,1080,950,950,/body[2]/div[5]/div[4]/img[5],/body[2]/div[5]/div[4]/img[5],/body[2]/div[5]/div[4]/img[5],0.0,122,122,2232,2230,122,122,2507,2504,0,0,-webkit-standard,"Times New Roman"
http://wwatana.be/mobile/mobile/201602/11/1.html,54,P,0,21,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/54.png,results/motog4/54.png,122,122,2232,2230,20,19,257,257,66,66,1946,1946,3526482.0,5138.0,750,1080,950,950,/body[2]/div[5]/div[4]/p[4],/body[2]/div[5]/div[4]/p[4],/body[2]/div[5]/div[4]/p[4],0.0,122,122,2196,2195,66,66,2293,2290,1,1,"open sans","Open Sans"
http://wwatana.be/mobile/mobile/201602/11/1.html,53,P,0,17,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/53.png,results/motog4/53.png,122,122,2196,2195,20,19,257,257,66,66,1946,1946,3603732.0,5140.0,750,1080,950,950,/body[2]/div[5]/div[4]/p[3],/body[2]/div[5]/div[4]/p[3],/body[2]/div[5]/div[4]/p[3],0.0,122,122,2160,2160,122,122,2232,2230,1,1,"open sans","Open Sans"
http://wwatana.be/mobile/mobile/201602/11/1.html,52,P,0,21,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,1.1,results/iphone8/52.png,results/motog4/52.png,122,122,2160,2160,20,19,257,257,66,66,1946,1946,3516006.0,5140.0,750,1080,950,950,/body[2]/div[5]/div[4]/p[2],/body[2]/div[5]/div[4]/p[2],/body[2]/div[5]/div[4]/p[2],0.0,66,66,1946,1946,122,122,2196,2195,1,1,"open sans","Open Sans"
