@RELATION browserninja.website
@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE Result {0, 1}

@DATA
http://wwatana.be/mobile/mobile/201602/04/1.html,101.0,A,0.0,9.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhone 8 Plus',null,null,2.0,3.0,results/iphone8/101.png,results/iphone8plus/101.png,35.0,35.0,1502.0,1502.0,54.0,54.0,136.0,136.0,35.0,35.0,1304.0,1304.0,232926.0,7506.7,750.0,1242.0,375.0,414.0,/body[2]/div[6]/div[1]/div[1]/div[1]/a[1],/body[2]/div[6]/div[1]/div[1]/div[1]/a[1],/body[2]/div[6]/div[1]/div[1]/div[1]/a[1],1.0,0.0,0.0,899.0,899.0,35.0,35.0,1541.0,1541.0,1.0,1.0,'titillium web','Titillium Web',1
http://wwatana.be/mobile/mobile/201602/04/1.html,21.0,A,0.0,7.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhone 8 Plus',null,null,2.0,3.0,results/iphone8/21.png,results/iphone8plus/21.png,84.0,123.0,0.0,0.0,89.0,89.0,90.0,90.0,129.0,129.0,0.0,0.0,348183.0,11457.9,750.0,1242.0,375.0,414.0,/body[2]/div[1]/div[3]/ul[1]/li[3]/a[1],/body[2]/div[1]/div[3]/ul[1]/li[3]/a[1],/body[2]/div[1]/div[3]/ul[1]/li[3]/a[1],0.5,129.0,129.0,0.0,0.0,129.0,129.0,0.0,0.0,1.0,1.0,'titillium web','Titillium Web',1
http://wwatana.be/mobile/mobile/201602/04/1.html,21.0,A,0.0,7.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/21.png,results/iphonese/21.png,84.0,29.0,0.0,0.0,89.0,89.0,90.0,90.0,129.0,129.0,0.0,0.0,1235608.0,15233.7,750.0,640.0,375.0,323.0,/body[2]/div[1]/div[3]/ul[1]/li[3]/a[1],/body[2]/div[1]/div[3]/ul[1]/li[3]/a[1],/body[2]/div[1]/div[3]/ul[1]/li[3]/a[1],0.7,129.0,129.0,0.0,0.0,129.0,129.0,0.0,0.0,1.0,1.0,'titillium web','titillium web',1
http://wwatana.be/mobile/mobile/201602/04/1.html,49.0,LI,1.0,112.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,null,null,222.0,139.0,0.0,0.0,100.0,100.0,122.0,191.0,129.0,129.0,0.0,0.0,0.0,0.0,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/ul[1]/li[8],/body[2]/div[1]/div[3]/ul[1]/li[8],/body[2]/div[1]/div[3]/ul[1]/li[8],0.0,129.0,129.0,0.0,0.0,129.0,129.0,0.0,0.0,2.0,2.0,-webkit-standard,'Times New Roman',1
http://wwatana.be/mobile/mobile/201602/04/1.html,50.0,INPUT,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/50.png,results/motog4/50.png,222.0,139.0,25.0,25.0,30.0,30.0,85.0,133.0,222.0,139.0,0.0,0.0,64188.0,9022.5,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/ul[1]/li[8]/input[1],/body[2]/div[1]/div[3]/ul[1]/li[8]/input[1],/body[2]/div[1]/div[3]/ul[1]/li[8]/input[1],0.6,129.0,129.0,0.0,0.0,129.0,129.0,0.0,0.0,0.0,0.0,Helvetica,Arial,1
http://wwatana.be/mobile/mobile/201602/04/1.html,52.0,INPUT,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/52.png,results/motog4/52.png,291.0,276.0,27.0,27.0,30.0,30.0,30.0,30.0,129.0,129.0,0.0,0.0,74814.0,1875.4,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[3]/ul[1]/li[9]/input[1],/body[2]/div[1]/div[3]/ul[1]/li[9]/input[1],/body[2]/div[1]/div[3]/ul[1]/li[9]/input[1],0.5,222.0,139.0,0.0,0.0,129.0,129.0,0.0,0.0,0.0,0.0,Helvetica,Arial,1
http://wwatana.be/mobile/mobile/201602/04/1.html,84.0,DIV,0.0,18.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/84.png,results/iphonese/84.png,35.0,35.0,431.0,431.0,102.0,102.0,337.0,287.0,35.0,35.0,194.0,194.0,3044446.0,16793.3,750.0,640.0,375.0,323.0,/body[2]/div[3]/div[1]/div[1]/div[1]/div[2],/body[2]/div[3]/div[1]/div[1]/div[1]/div[2],/body[2]/div[3]/div[1]/div[1]/div[1]/div[2],0.4,35.0,35.0,392.0,392.0,0.0,0.0,529.0,529.0,1.0,1.0,-webkit-standard,-webkit-standard,1
http://wwatana.be/mobile/mobile/201602/09/1.html,34.0,IMG,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/34.png,results/iphonese/34.png,129.0,148.0,589.0,589.0,45.0,45.0,75.0,75.0,129.0,148.0,618.0,618.0,150735.0,400.4,750.0,640.0,375.0,320.0,/body[2]/section[3]/ul[2]/li[2]/a[1]/img[1],/body[2]/section[3]/ul[2]/li[2]/a[1]/img[1],/body[2]/section[3]/ul[2]/li[2]/a[1]/img[1],0.8,39.0,59.0,589.0,589.0,218.0,61.0,589.0,638.0,0.0,0.0,sans-serif,sans-serif,0
http://wwatana.be/mobile/mobile/201602/09/1.html,35.0,LI,2.0,43.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,null,null,218.0,61.0,589.0,638.0,49.0,49.0,75.0,75.0,15.0,12.0,575.0,575.0,0.0,0.0,750.0,640.0,375.0,320.0,/body[2]/section[3]/ul[2]/li[3],/body[2]/section[3]/ul[2]/li[3],/body[2]/section[3]/ul[2]/li[3],0.0,129.0,148.0,589.0,589.0,131.0,151.0,638.0,638.0,2.0,2.0,sans-serif,sans-serif,1
http://wwatana.be/mobile/mobile/201602/09/1.html,36.0,A,1.0,25.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,null,null,218.0,61.0,618.0,667.0,20.0,20.0,75.0,75.0,218.0,61.0,589.0,638.0,0.0,0.0,750.0,640.0,375.0,320.0,/body[2]/section[3]/ul[2]/li[3]/a[1],/body[2]/section[3]/ul[2]/li[3]/a[1],/body[2]/section[3]/ul[2]/li[3]/a[1],0.0,129.0,148.0,589.0,589.0,131.0,151.0,638.0,638.0,0.0,0.0,sans-serif,sans-serif,1
